iteration,CH4,cat_area_per_vol_1_per_cm,diameter_cm,porosity
1,0.2514138435878249,1735.3266199013642,2.960786836331582,0.46434165591832016
2,0.25004247202818897,1965.837453240379,2.7993504062733034,0.4726121331053112
3,0.24906787606850445,1865.270097670658,2.8966515131061294,0.4769210712921056
4,0.24800696186849616,1968.5332705774522,2.793699589654393,0.4903218068631744
5,0.24407504871847654,1998.3228216703005,2.9420964697436105,0.4947154730951134
6,0.24407504871847654,1998.3228216703005,2.9420964697436105,0.4947154730951134
7,0.24407504871847654,1998.3228216703005,2.9420964697436105,0.4947154730951134
8,0.24407504871847654,1998.3228216703005,2.9420964697436105,0.4947154730951134
9,0.24407504871847654,1998.3228216703005,2.9420964697436105,0.4947154730951134
10,0.24346210989392322,1986.0870772611838,2.9645676978595334,0.49772230715229776
11,0.2433150370231195,1999.307168027438,2.953104167555616,0.4992670423122561
12,0.2433150370231195,1999.307168027438,2.953104167555616,0.4992670423122561
13,0.24322522416629874,1977.5902054912467,2.975371184034813,0.4990178640899332
